Frequency	Gain
3905.00000	-30.88900
3910.00000	-30.67111
3915.00000	-30.35984
3920.00000	-30.01158
3925.00000	-29.53894
3930.00000	-28.96507
3935.00000	-28.25386
3940.00000	-27.39066
3945.00000	-26.35777
3950.00000	-25.08069
3955.00000	-23.49843
3960.00000	-21.48965
3965.00000	-18.90344
3970.00000	-15.70083
3975.00000	-13.40538
3980.00000	-15.18087
3985.00000	-18.48646
3990.00000	-21.26030
3995.00000	-23.41938
4000.00000	-25.13710
4005.00000	-26.51630
4010.00000	-27.64862
4015.00000	-28.58205
4020.00000	-29.36529
4025.00000	-29.99639
4030.00000	-30.52504
4035.00000	-30.94297
4040.00000	-31.26097
4045.00000	-31.49983
4050.00000	-31.64920
4055.00000	-31.68699
4060.00000	-31.73005
4065.00000	-31.55673
4070.00000	-31.49112
4075.00000	-31.24816
4080.00000	-30.91736
4085.00000	-30.48417
4090.00000	-29.98157
4095.00000	-29.33926
4100.00000	-28.57227
4105.00000	-27.64241
4110.00000	-26.51635
4115.00000	-25.14013
4120.00000	-23.43882
4125.00000	-21.28827
4130.00000	-18.54157
4135.00000	-15.34879
4140.00000	-13.93106
4145.00000	-16.38444
4150.00000	-19.54525
4155.00000	-22.13343
4160.00000	-24.16027
4165.00000	-25.77945
4170.00000	-27.09893
4175.00000	-28.18003
4180.00000	-29.08696
4185.00000	-29.82253
4190.00000	-30.47026
4195.00000	-30.97325
4200.00000	-31.39015
4205.00000	-31.69307
4210.00000	-31.93541
4215.00000	-32.06328
4220.00000	-32.15167
4225.00000	-32.14444
4230.00000	-32.02658
4235.00000	-31.87617
4240.00000	-31.62633
4245.00000	-31.28973
4250.00000	-30.85491
4255.00000	-30.30446
4260.00000	-29.64657
4265.00000	-28.84115
4270.00000	-27.88191
4275.00000	-26.71939
4280.00000	-25.29884
4285.00000	-23.53052
4290.00000	-21.31521
4295.00000	-18.50462
4300.00000	-15.40115
4305.00000	-14.49178
4310.00000	-17.11419
4315.00000	-20.15685
4320.00000	-22.62009
4325.00000	-24.54881
4330.00000	-26.11631
4335.00000	-27.38950
4340.00000	-28.43669
4345.00000	-29.30252
4350.00000	-30.02792
4355.00000	-30.62482
4360.00000	-31.11789
4365.00000	-31.47435
4370.00000	-31.80142
4375.00000	-32.04396
4380.00000	-32.18841
4385.00000	-32.21402
4390.00000	-32.19747
4395.00000	-32.14396
4400.00000	-31.98269
4405.00000	-31.68415
4410.00000	-31.37594
4415.00000	-30.96455
4420.00000	-30.38875
4425.00000	-29.77212
4430.00000	-28.96538
4435.00000	-28.02146
4440.00000	-26.85797
4445.00000	-25.44465
4450.00000	-23.68930
4455.00000	-21.47451
4460.00000	-18.69836
4465.00000	-15.75036
4470.00000	-15.12757
4475.00000	-17.74849
4480.00000	-20.70920
4485.00000	-23.11758
4490.00000	-25.03232
4495.00000	-26.58266
4500.00000	-27.84370
4505.00000	-28.88772
4510.00000	-29.72884
4515.00000	-30.43323
4520.00000	-29.86874
4525.00000	-31.52566
4530.00000	-31.95159
4535.00000	-32.23363
4540.00000	-32.46691
4545.00000	-32.57172
4550.00000	-32.66064
4555.00000	-32.63102
4560.00000	-32.35565
4565.00000	-32.32972
4570.00000	-32.08626
4575.00000	-31.76671
4580.00000	-31.27016
4585.00000	-30.78099
4590.00000	-30.13194
4595.00000	-29.22572
4600.00000	-28.39213
4605.00000	-27.23635
4610.00000	-24.42306
4615.00000	-22.78327
4620.00000	-22.04538
4625.00000	-19.39233
